1: 40220000 , CELLO PAK, "BAMBOO SKEWERS 10""""" 
2: 1220001 , 4.25 OZ, *APPLES W/ CARAMEL 
3: 2060002 , LB, SEAFOOD DEPT 
4: 140003 , , Kroger $5.00 in Free Groceries w/ $20.00 Min. Purchase 
5: 19680002 , 817.0 lbs, "Column MK 12A-1F 
6: 26100005 , , Rock Music that changed our lives 
7: 33900001 , 1.32, Mentos (mixed fruit) 
8: 46680006 , Each, Pepsi Shell Dep. Ret. 2.00 
9: 82080006 , , "Mongoose 24"" Bike" 
10: 97940005 , 3 x 12 slots, Boeing Business Card Case 
11: 2740010 , EACH, ELLE MAGAZINE 
12: 1500011 , , PRICE AREA A5U 
13: 74000012 , , "calculator 
14: 100000009 , each, Microfilter 
15: 111000005 , 7OZ, CH. BRST. CORDON BLEU 
16: 112000004 , 7OZ, CH. BRST. A LA KIEV 
17: 1000016 , 999.00 LB, SPECIAL PERD PLT 35 CASES 
18: 49000016 , 20oz, Mr. Pibb 
19: 72600016 , , Xtreme Rock 
20: 2060019 , LB, FRESH WHOLE FISH 
21: 93780018 , 2 fl oz, Women's Rogaine 
22: 107720016 , 40.00 LB, PUR       DONUT BRITE GLZ 
23: 2000022 , 400 CT, "BK/KFC STRAWS-WRAP 8.5"" 43589 25.00 CT" 
24: 1000023 , 585 CT, *BIN CAULIFLOWER 1.00 LB 
25: 2080024 , EACH, SELF SERVICE BAKERY 
26: 21120022 , 75cl, Minervois French Red Wine 
27: 95300023 , "Lagee,  Blue" 
28: 113000003 , 7OZ, CH BRST CORDON BLEU W/SKIN 
29: 20000028 , 1.5 OZ, NAT FRSH FF DRESS RANCH 
30: 114000002 , 8 oz, CH BRST W/BRN/WILD RICE 
31: 115000001 , 8 oz, CH BRST FLORENTINE 
32: 116000000 , 8 oz, CH LEG W/APPLE/ALMOND 
33: 117000009 , 8 oz, CH LEG W/BRN/WILD RICE 
34: 96740033 , 1 ct, DON MANOLO CHURCHILL CONN CIGA 
35: 44320034 , 300 pc., Smart Deals Paper Clip 
36: 20000035 , 1.5 OZ, NATL.FRSH.FF 1000 ISLAND 
37: 50020034 , 24g, Schwartz Ground Coriander 
38: 118000008 , 7OZ, CHICKEN BROCHETTES 
39: 3000038 , 3.00 EA, *3 PACK MIX PEPPER BJ'S 
40: 27000038 , , CG CLEAN LMU MEDLT 135 
41: 2060040 , 16 oz, FLOUNDER 
42: 39000040 , 6floz, Vicks Chloraseptic spray 
43: 40200040 , ROLL, BLACK ANGUS LABEL 
44: 12480043 , EACH, CONT CANDLE 7 COLOR RAINBOW 
45: 4000044 , 12 ct, ET TU SALAD MIX CAESAR       * 
46: 59400042 , , Platinum Double Sided High Density Diskettes 
47: 93600040 , 50g, Nestle Polly Waffle 
48: 2920047 , LB, BEEF GROUND 73/27 
49: 2080048 , 6  CT, BUTTER CROISSANTS 
50: 9000049 , 40.00 EA, SHELF DUMMIES 
51: 5000050 , 24 ct, SICILIAN LEMON JUICE 4.00 OZ 
52: 22560049 , Size L, Paul&Shark Wool Jacket #C0P921/066 Grey Heather 
53: 34240052 , 1.55oz (43g), Hershey's Milk Chocolate Candy bar 
54: 55280051 , "8""""", "8"""" BLUEBERRY PIE NSA" 
55: 2920054 , LB, BEEF GROUND 80/20 
56: 32000054 , , UPC-E: 00003254 
57: 128520008 , cassette, Fantasmic 
58: 133000052 , 1 lb, "Stir-Fry Vegetables 
59: 50020058 , 28g, Schwartz Ground Cumin 
60: 143000059 , 24 OZ (680g), Trader Joe's Unsweetened Apple Sauce 
61: 40620060 , CS 12L, DONUT BAG-FLAT BOTTOM 
62: 146000025 , , Breakdown - CD - Various Artists - 4AD - 1999 
63: 123000062 , 1 liter, Code Red Mountain Dew 
64: 96440063 , 8.4 OZ, GLDN DPT LMN BTR DILL SAUCE 
65: 2060064 , LB, GROUPER FILLETS 
66: 50020065 , 35g, Schwartz Cumin Seeds 
67: 6000066 , 500 CT, *KFC SPLADE/NAPKIN COMBO 6BSP 2.00 CT 
68: 20000066 , 1.5 OZ, NATL.FRESH FAT FREE RANCH 
69: 112000066 , CD, Need for Speed III 
70: 22120069 , , TDK TVR 4HOURS 240 VHS 
71: 89000069 , , Sainsbury's Instore Bakery Cinnamon Whirl 
72: 2060071 , LB, GULF SNAPPER 
73: 50020072 , 37g, Schwartz Medium Curry Powder 
74: 10100073 , , GM Part 10100073 - PISTON & PIN ASM(1.0 O/S) 
75: 126000069 , 12 fl oz cans, mountain dew live wire 
76: 146000056 , 1 liter, Olive Oil Extra Virgin - Trader Joe's 
77: 150000035 , 12oz bottle, Sierra Nevada Celebration Ale 
78: 150000042 , , Sierra Nevada Unfiltered Wheat Beer 
79: 1000078 , 5.30 OZ, *PATE/FOUR FLAVOR CTY COGNAC 
80: 79 , , INDIANA LOTTO 
81: 6000080 , 1.5 oz (42g), Colgate Toothpaste - Travel Size 
82: 78400078 , 12 Oz., Hawaiian Punch 
83: 82000080 , , Sainsbury's Generic Newspaper 
84: 148000078 , 16 oz/1 lb., Trader Joe Creamy Unsalted Peanut Butter 
85: 152320001 , EACH, HARDCOVER BOOK 20.00 
86: 152520005 , EACH, TRADE BOOKS 20.00 
87: 79000086 , , sainsbury's Instore Bakery Raisin Whirl 
88: 152619990 , EACH, FULMONT AUDIO 19.99 
89: 8000088 , 12 ct, "KFC STAINLINER 8"" 25635 500.00 CT" 
90: 84160089 , , Lucky Strike Tobacco 
91: 120000089 , 24 FL OZ, MOUNTAIN DEW - BOTTLE 
92: 99060091 , 490 CT, NK HERB SEED ASSORTMENT DSPL 
93: 1000092 , 12 ct, *PATE/FOUR FLAVOR CTY COGNAC 5.30 OZ 
94: 93 , , treo 700w 
95: 2920092 , LB, BEEF GROUND 90/10 
96: 9000094 , 288 CT, COTLETS FLOOR 1.00 OZ 
97: 9320093 , ,  CAP BOUFFANT DISPOSABLE 
98: 34440094 , 1.6 oz (45 gm), Reese's 2 peanut butter cups 
99: 44500092 , 17oz, OREO PEANUT BUTTER CREME 
100: 46020093 , EACH, PINWHEEL                  1419 
101: 83000096 , , 8396 
102: 87000092 , 16 OZ (1 lb), Trader Joe's Dry Roasted / Salted Pistachio Nutmeats 
103: 148000092 , 16 oz./1 lb., Trader Joe Crunchy Unsalted Peanut Butter 
104: 27580103 , 14g, ASDA Garden Gang Mini Raisins 
105: 85140103 , , hard rock hotel & CASION  LAS VEGAS  MAGNET 
106: 149000091 , 12 oz (340g), Trader Joe's Fire Roasted Red Peppers 
107: 48580106 , 15.12 OZ, SHPR PM OATMEAL CINN/VANILLA 
108: 9100107 , 1000.00 EA, "LABEL 
109: 152620002 , EACH, FULMONT AUDIO 20.00 
110: 2080109 , EACH, DANISH APPLE POCKET 
111: 27580110 , , Asda Apricots 
112: 152719997 , EACH, COMPUTER SOFTWARE 19.99 
113: 40112 , Variable Weight, Bananas 
114: 152720009 , EACH, COMPUTER SOFTWARE 20.00 
115: 152819994 , EACH, FULMONT CHILD BOOK 
116: 2920115 , LB, BEEF GROUND SIRLOIN 
117: 2080116 , 2.5 Z, DANISH STRIP 
118: 780117 , 16 oz (454 g), Trader Joe's Organic Spaghetti 
119: 46000118 , 20.0Z, LIFE SAVER ORANGE PUNCH 20Z 
120: 96740118 , 1 ct, DON MANOLO CHURCHL MADURO CIGA 
121: 152820006 , EACH, FULMONT CHILD BOOK 
122: 160000056 , 4.3 GIGABYTE, Seagate ST15150WC SCA Hard Drive 
123: 100000122 , , Poo 
124: 123 , , Wrsi Riversound cafe cd 
125: 2080123 , 6  CT, DANISH BEAR CLAW 
126: 2060125 , LB, RAINBOW TROUT BONELESS 
127: 40200125 , 1000/ROLL, ROCKY RANGE LABEL 
128: 46000125 , 20.0Z, LIFE SAVER FRUIT PUNCH 20Z 
129: 12000128 , 2000 CT, KFC CUP COLD PEPSI 12OZ 23254 12.00 OZ 
130: 160000063 , 15 oz., Pilgrim Joe's Clam Chowder 
131: 9700130 , 750 ml, DEL MAGUEY TOBALA 
132: 9000131 , 1000.00 EA, "BAG 
133: 2060132 , LB, "REDFISH 
134: 46000132 , 20.0Z, LIFE SAVER PINEAPPLE 20.0Z 
135: 162000054 , 12 watercolours, WH smiths watercolour pan set 
136: 12000135 , 3.00 LB, P/S PORK END CHOPS 75170 
137: 55280136 , "8""""", "8"""" CHERRY PIE NSA" 
138: 50460137 , "20""", Galaxy Box Fan 
139: 180000005 , , stack on storage cabinet 
140: 180000067 , 12 Fl Oz, "Anheuser-Busch 
141: 50020140 , 28g, Schwartz Mixed Spice 
142: 98560141 , EACH, KOR USA STICKER BOOK 
143: 200059990 , EACH, LET'S PRINT LETTERS 
144: 200060002 , 1 ct, NMBRS & HEIGHBRS PUZ GAME 
145: 200060071 , EACH, ASTRONOMY 
146: 9100145 , 100.00 EA, " CANDY WINDOWS 2""    #20236  *" 
147: 40000145 , PINT, BERRY DOMES  1636 
148: 2080147 , 6  PK, DANISH CHEESE POCKET 
149: 2600147 , 16 oz, MATLAW JUMBO LUMP CRBMT 
150: 9300149 , 40.00 EA, "SHELF DUMMY 
151: 40620145 , CASE, 558-30 5X7 FOIL PAN 
152: 46000149 , 20.0Z, LIFE SAVER LIME PUNCH 20.0Z 
153: 77400147 , 6 FL OZ, ocean potion sun block 50 
154: 39720153 , V418, REVLON 1800 W STYLIST TURBO 
155: 200060101 , EACH, CUTE ANIMALS-SAYING POSITIV 
156: 9000155 , 1.00 CA, "TRAY 
157: 2060156 , LB, SALMON BABY COHO 
158: 9300156 , 60.00 EA, "SHELF DUMMY 
159: 46000156 , 20.0Z, LIFE SAVER GRAPE PUNCH 20Z 
160: 200060118 , EACH, ABCS 
161: 200060125 , EACH, BOOKPLATES 
162: 161 , , Dillons/Kroger Employee Coupon ($1.25 credit) 
163: 2080161 , 2 ct, KAISER ROLL WHEAT 
164: 2060163 , LB, SALMON KING 4-6 LB 
165: 9920163 , 1 ct, FRONT END KPI/IPM CHART1/EA 
166: 200060156 , EACH, BUTTERFLIES 
167: 200060163 , EACH, DINOSAURS 
168: 200700106 , 23.00 LB, PUR WHITE & SHINY RL ICING 
169: 201060001 , , I Love Lucy Collector's Edition (Lucy's Trouble Managing Money) 
170: 9100169 , 1.00 CA, "*PARTY TRAY & LID 16""" 
171: 2060170 , LB, SALMON NORWEGIAN 6-9 LB 
172: 200060170 , EACH, FLOWERS 
173: 440172 , , 1036-2-12.5GA NON CLIMB FENCE 
174: 9200173 , 1.00 CA, GEN MDSE EAS TAG PLAIN WHITE 
175: 202060000 , , I Love Lucy Collector's Edition (Lucy and the Stars) 
176: 202160113 , 20.00 LB, PUR LF    CF BAVARIAN CREM 
177: 203060009 , , I Love Lucy Collector's Edition (The Ricardos are Having a Baby) 
